wave,Fobar,oza,ag,aw
735.0,1.33368905263158,0.0144761538461538,0.0,0.602
736.0,1.3215,0.0142726153846154,0.0,0.602
737.0,1.32266252631579,0.0140690769230769,0.0,0.602
738.0,1.3112597872340401,0.0138655384615385,0.0,0.602
739.0,1.28238526315789,0.013662,0.0,0.602
740.0,1.2909006315789502,0.0134584615384615,0.0,0.602
741.0,1.27785978723404,0.0132549230769231,0.0,0.602
742.0,1.28078680851064,0.0130513846153846,0.0,0.602
743.0,1.3009826315789499,0.0128478461538462,0.0,0.602
744.0,1.3020565957446801,0.0126443076923077,0.0,0.602
745.0,1.30385852631579,0.0124407692307692,0.0,0.602
746.0,1.30509404255319,0.0122372307692308,0.0,0.602
747.0,1.30619627659574,0.0120336923076923,0.0,0.602
748.0,1.30628842105263,0.0118301538461538,0.0,0.602
749.0,1.28711510638298,0.0116266153846154,0.0,0.602
750.0,1.28456574468085,0.0114230769230769,0.0,0.602
751.0,1.27323063829787,0.0112195384615385,0.0,0.602
752.0,1.28380255319149,0.011016,0.0,0.602
753.0,1.27860765957447,0.0108124615384615,0.0,0.602
754.0,1.29032787234043,0.0106089230769231,0.0,0.602
755.0,1.2870406382978699,0.0104053846153846,0.0,0.602
756.0,1.2848929787234,0.0102018461538462,0.0,0.602
757.0,1.28926872340426,0.0099983076923077,0.0,0.602
758.0,1.2814895744680799,0.0097947692307692,0.0,0.602
759.0,1.27772361702128,0.0095912307692307,0.0,0.602
760.0,1.2800959574468098,0.0093876923076923,0.0,0.602
761.0,1.26553936170213,0.0091841538461538,0.0,0.602
762.0,1.25697333333333,0.0089806153846153,0.0,0.602
763.0,1.27080829787234,0.0087770769230769,0.0,0.602
764.0,1.2757657446808501,0.0085735384615384,0.0,0.602
765.0,1.2670732258064499,0.00837,0.0,0.602
766.0,1.21387127659574,0.0083348,0.0,0.602
767.0,1.24492,0.0082996,0.0,0.602
768.0,1.25813425531915,0.0082644,0.0,0.602
769.0,1.24511021505376,0.0082292,0.0,0.602
770.0,1.24280957446809,0.008194,0.0,0.602
771.0,1.24173096774194,0.0081588,0.0,0.602
772.0,1.2371212903225801,0.0081236,0.0,0.602
773.0,1.23181481798715,0.0080884,0.0,0.602
774.0,1.21995186295503,0.0080532,0.0,0.602
775.0,1.20808890792291,0.008018,0.0,0.602
776.0,1.19622595289079,0.0079828,0.0,0.602
777.0,1.18436299785867,0.0079476,0.0,0.602
778.0,1.17808301075269,0.0079124,0.0,0.602
779.0,1.18622064516129,0.0078772,0.0,0.602
780.0,1.17650096774193,0.007842,0.0,0.602
781.0,1.17996333333333,0.0078068,0.0,0.602
782.0,1.18716935483871,0.0077716,0.0,0.602
783.0,1.17058387096774,0.0077364,0.0,0.602
784.0,1.1633522580645201,0.0077012,0.0,0.602
785.0,1.17238983870968,0.007666,0.0,0.602
786.0,1.17314790322581,0.0076308,0.0,0.602
787.0,1.17082892473118,0.0075956,0.0,0.602
788.0,1.16790956989247,0.0075604,0.0,0.602
789.0,1.1697175,0.0075252,0.0,0.602
790.0,1.1717493548387101,0.00749,0.0,0.602
791.0,1.15963709677419,0.0074548,0.0,0.602
792.0,1.14909784946237,0.0074196,0.0,0.602
793.0,1.12939934782609,0.0073844,0.0,0.602
794.0,1.11835576086957,0.0073492,0.0,0.602
795.0,1.13861096774194,0.007314,0.0,0.602
796.0,1.1523921739130398,0.0072788,0.0,0.602
797.0,1.1496548387096799,0.0072436,0.0,0.602
798.0,1.1481775,0.0072084,0.0,0.602
